Faculty Initaial,Facluty name,Department,Profile link
NvA,DR. NOVA AHMED,ECE,http://ece.northsouth.edu/people/nova-ahmed/
NzM3,Mohammad Niaz Murshed,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/mohammad-niaz-murshed.html
PNg,Dr. Preetom Nag,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-preetom-nag.html
RjP,DR. RAJESH PALIT,ECE,http://ece.northsouth.edu/people/rajesh-palit/
RKb1,Rashadul Kabir,ECE,https://bd.linkedin.com/in/rashadul-kabir-019027131
Rkz,DR. M. ROKONUZZAMAN,ECE,http://ece.northsouth.edu/people/m-rokonuzzaman/
RRa,MS. RUMMANA RAHMAN,ECE,http://ece.northsouth.edu/people/rummana-rahman/
RRn,DR. MOHAMMAD RASHEDUR RAHMAN,ECE,http://ece.northsouth.edu/people/rashedur-rahman/
RsF,MR. RISHAD ARFIN,ECE,http://ece.northsouth.edu/people/rishad-arfin/
Rtk,DR. RIASAT KHAN,ECE,http://ece.northsouth.edu/people/riasat-khan/
SAA3,Dr. Samim Al Azad,ECE,http://www.northsouth.edu/faculty-members/sbe/mgt/dr.-samim-al-azad.html
SAm,MS. SHARMINA ZAMAN,ECE,http://ece.northsouth.edu/people/ms-sharmina-zaman/
SAM3,Samuel Mursalin,ECE,http://www.northsouth.edu/faculty-members/sbe/mgt/samuel-mursalin.html
SAS3,SHAIKH SHAWON AREFIN SHIMON,ECE,http://ece.northsouth.edu/people/shaikh-shawon-arefin-shimon/
SCG,Dr. Subir Chandra Ghosh,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-subir-chandra-ghosh.html
SfM1,DR. SIFAT MOMEN,ECE,http://ece.northsouth.edu/people/dr-sifat-momen/
SfT,,ECE,
SIs ,Dr. Md. Shariful Islam,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-md.-shariful-islam.html
SKA2,Md Salik Ahmed,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/md-salik-ahmed-ska2.html
Sls,Dr. Md. Shariful Islam,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-md.-shariful-islam.html
SMH2,SyedMahmud Husain,ECE,https://sg.linkedin.com/in/syed-mahmud-husain-58a7458a
SMv,Saquib Musavi Hassan,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/saquib-musavi-hassan.html
SMv,Saquib Musavi Hassan,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/saquib-musavi-hassan.html
SnS1,DR. SHAHNEWAZ SIDDIQUE,ECE,http://ece.northsouth.edu/people/dr-shahnewaz-siddique/
SqR,Shafquat Rafiul Alam,ECE,http://www.northsouth.edu/faculty-members/sbe/mgt/shafquat.alam.html
SSH1,MS. SYEDA SARITA HASSAN,ECE,http://ece.northsouth.edu/people/syeda-sarita-hassan/
SSU,Sharmin Sultana,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/sharmin-sultana.html
SvA,MS. SILVIA AHMED,ECE,http://ece.northsouth.edu/people/silvia-ahmed/
Szz,DR. SHAZZAD HOSAIN,ECE,http://ece.northsouth.edu/people/shazzad-hosain/
TnF,MS. TANJILA FARAH,ECE,http://ece.northsouth.edu/people/tanjila-farah/
TnR,DR. TANZILUR RAHMAN,ECE,http://ece.northsouth.edu/people/dr-tanzilur-rahman-2/
TnS1,MS. TANZILAH NOOR SHABNAM,ECE,http://ece.northsouth.edu/people/ms-tanzilah-noor-shabnam/
Umm,Dr. Mohammad Monir Uddin,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-mohammad-monir-uddin.html
ZBM,Dr. Zaid Bin Mahbub,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-zaid-bin-mahbub-zbm.html
ZBZ,MR. ZUNAYEED BIN ZAHIR,ECE,http://ece.northsouth.edu/people/zunayeed-bin-zahir/
ZHn,Md. Zahangir Hossain,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/md.-zahangir-hossain-zhn.html
ZIK,Dr. Md. Zafar Iqbal Khan,ECE,https://www.baust.edu.bd/files/frontend/facultymember/FacultyMember_file_190101095338.pdf
ZUM,Mr. Zasim U. Mazumder,ECE,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/mr.-zasim-u.-mazumder-zum.html
